,HCHO Value,Location,Date,Next Date
3651,5.830909719406619e-05,Jaffna Proper,2019-01-01,2019-01-02
3652,0.0001017952795536,Jaffna Proper,2019-01-02,2019-01-03
3653,3.93133105404262e-05,Jaffna Proper,2019-01-03,2019-01-04
3654,-2.3839846576184498e-06,Jaffna Proper,2019-01-04,2019-01-05
3655,0.0001589137302293,Jaffna Proper,2019-01-05,2019-01-06
3656,7.539679629744287e-05,Jaffna Proper,2019-01-06,2019-01-07
3657,0.0001799237734955,Jaffna Proper,2019-01-07,2019-01-08
3658,9.470708011674723e-05,Jaffna Proper,2019-01-08,2019-01-09
3659,2.109364950895559e-06,Jaffna Proper,2019-01-09,2019-01-10
3660,0.0001318967807501,Jaffna Proper,2019-01-10,2019-01-11
3661,0.0001337016372402,Jaffna Proper,2019-01-11,2019-01-12
3662,5.9570030841276426e-05,Jaffna Proper,2019-01-12,2019-01-13
3663,-4.157867137825242e-05,Jaffna Proper,2019-01-13,2019-01-14
3664,2.010835129084908e-05,Jaffna Proper,2019-01-14,2019-01-15
3665,3.94847944175773e-05,Jaffna Proper,2019-01-15,2019-01-16
3666,6.686277882732807e-05,Jaffna Proper,2019-01-16,2019-01-17
3667,5.18184452543004e-05,Jaffna Proper,2019-01-17,2019-01-18
3668,9.154995885051224e-05,Jaffna Proper,2019-01-18,2019-01-19
3669,1.707625620314082e-05,Jaffna Proper,2019-01-19,2019-01-20
3670,-5.2767861370760775e-05,Jaffna Proper,2019-01-20,2019-01-21
3671,0.0001840677559424,Jaffna Proper,2019-01-21,2019-01-22
3672,9.561663077100936e-05,Jaffna Proper,2019-01-22,2019-01-23
3673,0.0001003762537841,Jaffna Proper,2019-01-23,2019-01-24
3674,7.40591053869194e-05,Jaffna Proper,2019-01-24,2019-01-25
3675,8.133567760369957e-05,Jaffna Proper,2019-01-25,2019-01-26
3676,7.100806903845069e-05,Jaffna Proper,2019-01-26,2019-01-27
3677,0.0001575832971284,Jaffna Proper,2019-01-27,2019-01-28
3678,0.0001559252593195,Jaffna Proper,2019-01-28,2019-01-29
3679,0.0001565067390967,Jaffna Proper,2019-01-29,2019-01-30
3680,7.858827423877602e-05,Jaffna Proper,2019-01-30,2019-01-31
3681,5.2357333762168965e-05,Jaffna Proper,2019-01-31,2019-02-01
3682,3.92767249346337e-05,Jaffna Proper,2019-02-01,2019-02-02
3683,4.13203491997759e-05,Jaffna Proper,2019-02-02,2019-02-03
3684,7.24383640488506e-05,Jaffna Proper,2019-02-03,2019-02-04
3685,,Jaffna Proper,2019-02-04,2019-02-05
3686,,Jaffna Proper,2019-02-05,2019-02-06
3687,2.390234104806981e-05,Jaffna Proper,2019-02-06,2019-02-07
3688,0.0001053063940188,Jaffna Proper,2019-02-07,2019-02-08
3689,0.0001589486283796,Jaffna Proper,2019-02-08,2019-02-09
3690,8.587924520412733e-05,Jaffna Proper,2019-02-09,2019-02-10
3691,0.0001535258003232,Jaffna Proper,2019-02-10,2019-02-11
3692,3.2951201334642755e-05,Jaffna Proper,2019-02-11,2019-02-12
3693,6.52509876969887e-05,Jaffna Proper,2019-02-12,2019-02-13
3694,8.473493836064989e-05,Jaffna Proper,2019-02-13,2019-02-14
3695,4.350650882572056e-05,Jaffna Proper,2019-02-14,2019-02-15
3696,0.0001286444716494,Jaffna Proper,2019-02-15,2019-02-16
3697,7.220437792754523e-05,Jaffna Proper,2019-02-16,2019-02-17
3698,0.0001996613275805,Jaffna Proper,2019-02-17,2019-02-18
3699,0.0001144786617752,Jaffna Proper,2019-02-18,2019-02-19
3700,0.0001779951041252,Jaffna Proper,2019-02-19,2019-02-20
3701,9.03136843347107e-05,Jaffna Proper,2019-02-20,2019-02-21
3702,4.6319964771203575e-05,Jaffna Proper,2019-02-21,2019-02-22
3703,5.7038448135490425e-05,Jaffna Proper,2019-02-22,2019-02-23
3704,2.5419065214249614e-05,Jaffna Proper,2019-02-23,2019-02-24
3705,0.000102055793893,Jaffna Proper,2019-02-24,2019-02-25
3706,0.0001436022726529,Jaffna Proper,2019-02-25,2019-02-26
3707,3.027809876520691e-05,Jaffna Proper,2019-02-26,2019-02-27
3708,0.000135316916096,Jaffna Proper,2019-02-27,2019-02-28
3709,0.0002099835616997,Jaffna Proper,2019-02-28,2019-03-01
3710,,Jaffna Proper,2019-03-01,2019-03-02
3711,5.449465816276849e-05,Jaffna Proper,2019-03-02,2019-03-03
3712,9.6661204352337e-05,Jaffna Proper,2019-03-03,2019-03-04
3713,9.596860819798644e-05,Jaffna Proper,2019-03-04,2019-03-05
3714,0.00018282723756,Jaffna Proper,2019-03-05,2019-03-06
3715,3.726789927856213e-05,Jaffna Proper,2019-03-06,2019-03-07
3716,0.0001146398530123,Jaffna Proper,2019-03-07,2019-03-08
3717,5.839432739258154e-05,Jaffna Proper,2019-03-08,2019-03-09
3718,,Jaffna Proper,2019-03-09,2019-03-10
3719,6.468785230596147e-05,Jaffna Proper,2019-03-10,2019-03-11
3720,0.0001142912680418,Jaffna Proper,2019-03-11,2019-03-12
3721,0.0001032588562612,Jaffna Proper,2019-03-12,2019-03-13
3722,0.0002969620366066,Jaffna Proper,2019-03-13,2019-03-14
3723,7.003770803236358e-05,Jaffna Proper,2019-03-14,2019-03-15
3724,8.715531025828512e-05,Jaffna Proper,2019-03-15,2019-03-16
3725,8.950293663013654e-05,Jaffna Proper,2019-03-16,2019-03-17
3726,6.708069847282744e-05,Jaffna Proper,2019-03-17,2019-03-18
3727,0.0001714661515889,Jaffna Proper,2019-03-18,2019-03-19
3728,0.0001304222284758,Jaffna Proper,2019-03-19,2019-03-20
3729,0.0001652603496458,Jaffna Proper,2019-03-20,2019-03-21
3730,0.000180821650839,Jaffna Proper,2019-03-21,2019-03-22
3731,0.0002143703475771,Jaffna Proper,2019-03-22,2019-03-23
3732,0.0002253481504262,Jaffna Proper,2019-03-23,2019-03-24
3733,0.0001116518290101,Jaffna Proper,2019-03-24,2019-03-25
3734,4.007921997167454e-05,Jaffna Proper,2019-03-25,2019-03-26
3735,0.0001347779002359,Jaffna Proper,2019-03-26,2019-03-27
3736,0.0002521169772334,Jaffna Proper,2019-03-27,2019-03-28
3737,0.0002015701569086,Jaffna Proper,2019-03-28,2019-03-29
3738,0.0002447325820142,Jaffna Proper,2019-03-29,2019-03-30
3739,0.0001173990094827,Jaffna Proper,2019-03-30,2019-03-31
3740,0.0001473601799526,Jaffna Proper,2019-03-31,2019-04-01
