,HCHO Value,Location,Date,Next Date
0,9.220391253917748e-05,Kandy Proper,2019-01-02,2019-01-03
1,,Kandy Proper,2019-01-03,2019-01-04
2,0.0001908681983853,Kandy Proper,2019-01-04,2019-01-05
3,0.0001219517840206,Kandy Proper,2019-01-05,2019-01-06
4,-6.514086129388805e-05,Kandy Proper,2019-01-06,2019-01-07
5,0.0001632382063926,Kandy Proper,2019-01-07,2019-01-08
6,-6.735205533914268e-05,Kandy Proper,2019-01-08,2019-01-09
7,0.0001279693658243,Kandy Proper,2019-01-09,2019-01-10
8,4.546048424126012e-05,Kandy Proper,2019-01-10,2019-01-11
9,3.600074175192105e-05,Kandy Proper,2019-01-11,2019-01-12
10,0.000128662969801,Kandy Proper,2019-01-12,2019-01-13
11,,Kandy Proper,2019-01-13,2019-01-14
12,,Kandy Proper,2019-01-14,2019-01-15
13,9.63639634671553e-05,Kandy Proper,2019-01-15,2019-01-16
14,,Kandy Proper,2019-01-16,2019-01-17
15,0.0001200971278484,Kandy Proper,2019-01-17,2019-01-18
16,-0.0001197246567136,Kandy Proper,2019-01-18,2019-01-19
17,0.0002825263761529,Kandy Proper,2019-01-19,2019-01-20
18,7.150631692646835e-05,Kandy Proper,2019-01-20,2019-01-21
19,0.0002833741508232,Kandy Proper,2019-01-21,2019-01-22
20,0.0002659407549829,Kandy Proper,2019-01-22,2019-01-23
21,5.8649506506635245e-05,Kandy Proper,2019-01-23,2019-01-24
22,-3.940558338151006e-06,Kandy Proper,2019-01-24,2019-01-25
23,0.0001092931769982,Kandy Proper,2019-01-25,2019-01-26
24,7.03689579655349e-05,Kandy Proper,2019-01-26,2019-01-27
25,0.0001647056354631,Kandy Proper,2019-01-27,2019-01-28
26,0.0001130180465294,Kandy Proper,2019-01-28,2019-01-29
27,0.0001141272676955,Kandy Proper,2019-01-29,2019-01-30
28,-3.000156427858255e-05,Kandy Proper,2019-01-30,2019-01-31
29,1.5133123262338617e-05,Kandy Proper,2019-01-31,2019-02-01
30,9.510527997488848e-05,Kandy Proper,2019-02-01,2019-02-02
31,3.0694719505487384e-05,Kandy Proper,2019-02-02,2019-02-03
32,,Kandy Proper,2019-02-03,2019-02-04
33,,Kandy Proper,2019-02-04,2019-02-05
34,,Kandy Proper,2019-02-05,2019-02-06
35,3.521572625649498e-05,Kandy Proper,2019-02-06,2019-02-07
36,0.000144733119523,Kandy Proper,2019-02-07,2019-02-08
37,7.648542999350917e-05,Kandy Proper,2019-02-08,2019-02-09
38,,Kandy Proper,2019-02-09,2019-02-10
39,,Kandy Proper,2019-02-10,2019-02-11
40,6.33983046513048e-05,Kandy Proper,2019-02-11,2019-02-12
41,6.099527672631667e-05,Kandy Proper,2019-02-12,2019-02-13
42,,Kandy Proper,2019-02-13,2019-02-14
43,,Kandy Proper,2019-02-14,2019-02-15
44,1.8666852257755813e-05,Kandy Proper,2019-02-15,2019-02-16
45,,Kandy Proper,2019-02-16,2019-02-17
46,0.0001525741076541,Kandy Proper,2019-02-17,2019-02-18
47,0.0001316059809503,Kandy Proper,2019-02-18,2019-02-19
48,5.400887798459826e-05,Kandy Proper,2019-02-19,2019-02-20
49,3.130874441109665e-05,Kandy Proper,2019-02-20,2019-02-21
50,-1.98339014766147e-06,Kandy Proper,2019-02-21,2019-02-22
51,0.0001148911736891,Kandy Proper,2019-02-22,2019-02-23
52,0.0002118789208893,Kandy Proper,2019-02-23,2019-02-24
53,3.663116612296087e-05,Kandy Proper,2019-02-24,2019-02-25
54,4.493778690247384e-05,Kandy Proper,2019-02-25,2019-02-26
55,,Kandy Proper,2019-02-26,2019-02-27
56,,Kandy Proper,2019-02-27,2019-02-28
57,,Kandy Proper,2019-02-28,2019-03-01
58,,Kandy Proper,2019-03-01,2019-03-02
59,0.000113648535998,Kandy Proper,2019-03-02,2019-03-03
60,0.0001120620195392,Kandy Proper,2019-03-03,2019-03-04
61,0.0002530551243115,Kandy Proper,2019-03-04,2019-03-05
62,0.0002326652722074,Kandy Proper,2019-03-05,2019-03-06
63,0.0001284045619553,Kandy Proper,2019-03-06,2019-03-07
64,0.0001646112972623,Kandy Proper,2019-03-07,2019-03-08
65,0.000177511546709,Kandy Proper,2019-03-08,2019-03-09
66,,Kandy Proper,2019-03-09,2019-03-10
67,0.0001138036418406,Kandy Proper,2019-03-10,2019-03-11
68,0.0001638923213232,Kandy Proper,2019-03-11,2019-03-12
69,0.0001764080320851,Kandy Proper,2019-03-12,2019-03-13
70,4.218809439496275e-05,Kandy Proper,2019-03-13,2019-03-14
71,0.0001620084507506,Kandy Proper,2019-03-14,2019-03-15
72,0.0001104143683767,Kandy Proper,2019-03-15,2019-03-16
73,0.0001981838605184,Kandy Proper,2019-03-16,2019-03-17
74,0.0001831507209264,Kandy Proper,2019-03-17,2019-03-18
75,-4.018462979616311e-05,Kandy Proper,2019-03-18,2019-03-19
76,0.0002067529282929,Kandy Proper,2019-03-19,2019-03-20
77,0.0001473883183271,Kandy Proper,2019-03-20,2019-03-21
78,,Kandy Proper,2019-03-21,2019-03-22
79,0.0001790459257074,Kandy Proper,2019-03-22,2019-03-23
80,,Kandy Proper,2019-03-23,2019-03-24
81,0.0002471924438964,Kandy Proper,2019-03-24,2019-03-25
82,0.000219244095107,Kandy Proper,2019-03-25,2019-03-26
