,HCHO Value,Location,Date,Next Date
1825,8.829725542537962e-05,Kurunegala Proper,2019-01-01,2019-01-02
1826,0.0001370787402778,Kurunegala Proper,2019-01-02,2019-01-03
1827,0.0001480085027113,Kurunegala Proper,2019-01-03,2019-01-04
1828,-2.046379059735541e-06,Kurunegala Proper,2019-01-04,2019-01-05
1829,0.0002489134742856,Kurunegala Proper,2019-01-05,2019-01-06
1830,0.0001015583300177,Kurunegala Proper,2019-01-06,2019-01-07
1831,0.000191905666819,Kurunegala Proper,2019-01-07,2019-01-08
1832,0.0001215500456138,Kurunegala Proper,2019-01-08,2019-01-09
1833,9.741700467262771e-05,Kurunegala Proper,2019-01-09,2019-01-10
1834,0.0001130342628012,Kurunegala Proper,2019-01-10,2019-01-11
1835,7.047632943988818e-05,Kurunegala Proper,2019-01-11,2019-01-12
1836,0.0001691712548577,Kurunegala Proper,2019-01-12,2019-01-13
1837,,Kurunegala Proper,2019-01-13,2019-01-14
1838,,Kurunegala Proper,2019-01-14,2019-01-15
1839,8.792493954777681e-05,Kurunegala Proper,2019-01-15,2019-01-16
1840,6.834336052834083e-05,Kurunegala Proper,2019-01-16,2019-01-17
1841,0.0001380624797849,Kurunegala Proper,2019-01-17,2019-01-18
1842,0.0001738223309452,Kurunegala Proper,2019-01-18,2019-01-19
1843,0.0004428761270622,Kurunegala Proper,2019-01-19,2019-01-20
1844,9.75617828184706e-05,Kurunegala Proper,2019-01-20,2019-01-21
1845,0.0001959789194475,Kurunegala Proper,2019-01-21,2019-01-22
1846,0.0002374446632005,Kurunegala Proper,2019-01-22,2019-01-23
1847,0.0001623734482581,Kurunegala Proper,2019-01-23,2019-01-24
1848,0.0003623356418718,Kurunegala Proper,2019-01-24,2019-01-25
1849,0.0001278521652785,Kurunegala Proper,2019-01-25,2019-01-26
1850,0.0001660436439104,Kurunegala Proper,2019-01-26,2019-01-27
1851,0.0001499965666254,Kurunegala Proper,2019-01-27,2019-01-28
1852,0.0001080499254242,Kurunegala Proper,2019-01-28,2019-01-29
1853,0.0001158141900096,Kurunegala Proper,2019-01-29,2019-01-30
1854,0.0001113523173507,Kurunegala Proper,2019-01-30,2019-01-31
1855,2.449285979142846e-05,Kurunegala Proper,2019-01-31,2019-02-01
1856,0.0001926267275908,Kurunegala Proper,2019-02-01,2019-02-02
1857,4.824408500716178e-05,Kurunegala Proper,2019-02-02,2019-02-03
1858,-3.666930620912048e-05,Kurunegala Proper,2019-02-03,2019-02-04
1859,,Kurunegala Proper,2019-02-04,2019-02-05
1860,,Kurunegala Proper,2019-02-05,2019-02-06
1861,0.0001913403998944,Kurunegala Proper,2019-02-06,2019-02-07
1862,0.0002947662047032,Kurunegala Proper,2019-02-07,2019-02-08
1863,0.0002970068599097,Kurunegala Proper,2019-02-08,2019-02-09
1864,,Kurunegala Proper,2019-02-09,2019-02-10
1865,7.523556172334847e-05,Kurunegala Proper,2019-02-10,2019-02-11
1866,0.0001297080667525,Kurunegala Proper,2019-02-11,2019-02-12
1867,6.270259499786078e-05,Kurunegala Proper,2019-02-12,2019-02-13
1868,8.990000185560485e-05,Kurunegala Proper,2019-02-13,2019-02-14
1869,7.931416535107657e-05,Kurunegala Proper,2019-02-14,2019-02-15
1870,6.0740207710781725e-05,Kurunegala Proper,2019-02-15,2019-02-16
1871,,Kurunegala Proper,2019-02-16,2019-02-17
1872,0.0001501712095351,Kurunegala Proper,2019-02-17,2019-02-18
1873,0.0002017258506288,Kurunegala Proper,2019-02-18,2019-02-19
1874,0.0002586245505792,Kurunegala Proper,2019-02-19,2019-02-20
1875,8.79509593267587e-05,Kurunegala Proper,2019-02-20,2019-02-21
1876,0.0001464546481548,Kurunegala Proper,2019-02-21,2019-02-22
1877,0.0001375125401253,Kurunegala Proper,2019-02-22,2019-02-23
1878,0.000407827673794,Kurunegala Proper,2019-02-23,2019-02-24
1879,0.0002361983539606,Kurunegala Proper,2019-02-24,2019-02-25
1880,8.145316466296842e-05,Kurunegala Proper,2019-02-25,2019-02-26
1881,0.0001796735993672,Kurunegala Proper,2019-02-26,2019-02-27
1882,0.0002322736580558,Kurunegala Proper,2019-02-27,2019-02-28
1883,,Kurunegala Proper,2019-02-28,2019-03-01
1884,,Kurunegala Proper,2019-03-01,2019-03-02
1885,0.0002262031094414,Kurunegala Proper,2019-03-02,2019-03-03
1886,0.0001259866889363,Kurunegala Proper,2019-03-03,2019-03-04
1887,0.0001714544313468,Kurunegala Proper,2019-03-04,2019-03-05
1888,0.0001342028527037,Kurunegala Proper,2019-03-05,2019-03-06
1889,0.0001580027758568,Kurunegala Proper,2019-03-06,2019-03-07
1890,0.0001892068657825,Kurunegala Proper,2019-03-07,2019-03-08
1891,0.0001039425656943,Kurunegala Proper,2019-03-08,2019-03-09
1892,,Kurunegala Proper,2019-03-09,2019-03-10
1893,0.0001568034910526,Kurunegala Proper,2019-03-10,2019-03-11
1894,0.0002545370341487,Kurunegala Proper,2019-03-11,2019-03-12
1895,0.0001662309292288,Kurunegala Proper,2019-03-12,2019-03-13
1896,0.0003549058798361,Kurunegala Proper,2019-03-13,2019-03-14
1897,0.000265097141989,Kurunegala Proper,2019-03-14,2019-03-15
1898,0.0002519274524677,Kurunegala Proper,2019-03-15,2019-03-16
1899,0.0001508674249008,Kurunegala Proper,2019-03-16,2019-03-17
1900,0.0001988515444004,Kurunegala Proper,2019-03-17,2019-03-18
1901,0.0001031316549134,Kurunegala Proper,2019-03-18,2019-03-19
1902,0.0002291439663551,Kurunegala Proper,2019-03-19,2019-03-20
1903,0.0002245213685455,Kurunegala Proper,2019-03-20,2019-03-21
1904,,Kurunegala Proper,2019-03-21,2019-03-22
1905,0.0002345326298606,Kurunegala Proper,2019-03-22,2019-03-23
1906,0.0002848332356072,Kurunegala Proper,2019-03-23,2019-03-24
1907,0.0001985107134155,Kurunegala Proper,2019-03-24,2019-03-25
1908,0.0001921681911026,Kurunegala Proper,2019-03-25,2019-03-26
1909,0.0002917578396021,Kurunegala Proper,2019-03-26,2019-03-27
1910,0.0004375629936587,Kurunegala Proper,2019-03-27,2019-03-28
1911,0.0002076575167296,Kurunegala Proper,2019-03-28,2019-03-29
1912,0.0003537468371026,Kurunegala Proper,2019-03-29,2019-03-30
1913,0.0003155841150722,Kurunegala Proper,2019-03-30,2019-03-31
1914,0.0002005128354287,Kurunegala Proper,2019-03-31,2019-04-01
1915,0.0001913736846052,Kurunegala Proper,2019-04-01,2019-04-02
1916,0.0002292592673599,Kurunegala Proper,2019-04-02,2019-04-03
1917,0.0001856483874482,Kurunegala Proper,2019-04-03,2019-04-04
1918,0.0001997694690952,Kurunegala Proper,2019-04-04,2019-04-05
1919,0.0001986475720932,Kurunegala Proper,2019-04-05,2019-04-06
1920,0.0002038335707743,Kurunegala Proper,2019-04-06,2019-04-07
1921,0.0002632298358881,Kurunegala Proper,2019-04-07,2019-04-08
1922,0.0002901479325215,Kurunegala Proper,2019-04-08,2019-04-09
1923,0.0001645179947213,Kurunegala Proper,2019-04-09,2019-04-10
1924,0.0001457744638877,Kurunegala Proper,2019-04-10,2019-04-11
1925,,Kurunegala Proper,2019-04-11,2019-04-12
1926,0.00023470977033,Kurunegala Proper,2019-04-12,2019-04-13
1927,0.0002282964378382,Kurunegala Proper,2019-04-13,2019-04-14
1928,,Kurunegala Proper,2019-04-14,2019-04-15
1929,,Kurunegala Proper,2019-04-15,2019-04-16
1930,,Kurunegala Proper,2019-04-16,2019-04-17
