,HCHO Value,Location,Date,Next Date
3651,,Nuwara Eliya Proper,2019-01-01,2019-01-02
3652,,Nuwara Eliya Proper,2019-01-02,2019-01-03
3653,0.0001908293886956,Nuwara Eliya Proper,2019-01-03,2019-01-04
3654,5.0976259171277377e-05,Nuwara Eliya Proper,2019-01-04,2019-01-05
3655,6.456645496655256e-05,Nuwara Eliya Proper,2019-01-05,2019-01-06
3656,8.982348709518115e-05,Nuwara Eliya Proper,2019-01-06,2019-01-07
3657,4.097797651418246e-05,Nuwara Eliya Proper,2019-01-07,2019-01-08
3658,,Nuwara Eliya Proper,2019-01-08,2019-01-09
3659,,Nuwara Eliya Proper,2019-01-09,2019-01-10
3660,,Nuwara Eliya Proper,2019-01-10,2019-01-11
3661,3.914670787137749e-05,Nuwara Eliya Proper,2019-01-11,2019-01-12
3662,,Nuwara Eliya Proper,2019-01-12,2019-01-13
3663,,Nuwara Eliya Proper,2019-01-13,2019-01-14
3664,4.211950727039948e-05,Nuwara Eliya Proper,2019-01-14,2019-01-15
3665,4.27055256923008e-05,Nuwara Eliya Proper,2019-01-15,2019-01-16
3666,,Nuwara Eliya Proper,2019-01-16,2019-01-17
3667,0.0001077155480912,Nuwara Eliya Proper,2019-01-17,2019-01-18
3668,2.1021983917616697e-05,Nuwara Eliya Proper,2019-01-18,2019-01-19
3669,3.5177822608346057e-05,Nuwara Eliya Proper,2019-01-19,2019-01-20
3670,8.95718212363389e-06,Nuwara Eliya Proper,2019-01-20,2019-01-21
3671,0.0001169623557084,Nuwara Eliya Proper,2019-01-21,2019-01-22
3672,0.0001423180803672,Nuwara Eliya Proper,2019-01-22,2019-01-23
3673,5.387086215710865e-05,Nuwara Eliya Proper,2019-01-23,2019-01-24
3674,5.8914353326833725e-05,Nuwara Eliya Proper,2019-01-24,2019-01-25
3675,,Nuwara Eliya Proper,2019-01-25,2019-01-26
3676,,Nuwara Eliya Proper,2019-01-26,2019-01-27
3677,0.0003344381531667,Nuwara Eliya Proper,2019-01-27,2019-01-28
3678,0.0001509017772374,Nuwara Eliya Proper,2019-01-28,2019-01-29
3679,0.0001841569476548,Nuwara Eliya Proper,2019-01-29,2019-01-30
3680,3.054402387193301e-05,Nuwara Eliya Proper,2019-01-30,2019-01-31
3681,3.6008610393953005e-05,Nuwara Eliya Proper,2019-01-31,2019-02-01
3682,7.778077086008773e-05,Nuwara Eliya Proper,2019-02-01,2019-02-02
3683,,Nuwara Eliya Proper,2019-02-02,2019-02-03
3684,,Nuwara Eliya Proper,2019-02-03,2019-02-04
3685,,Nuwara Eliya Proper,2019-02-04,2019-02-05
3686,,Nuwara Eliya Proper,2019-02-05,2019-02-06
3687,,Nuwara Eliya Proper,2019-02-06,2019-02-07
3688,8.962996522611401e-05,Nuwara Eliya Proper,2019-02-07,2019-02-08
3689,6.902842232093944e-05,Nuwara Eliya Proper,2019-02-08,2019-02-09
3690,,Nuwara Eliya Proper,2019-02-09,2019-02-10
3691,5.539429507152505e-05,Nuwara Eliya Proper,2019-02-10,2019-02-11
3692,,Nuwara Eliya Proper,2019-02-11,2019-02-12
3693,,Nuwara Eliya Proper,2019-02-12,2019-02-13
3694,7.972334424266592e-05,Nuwara Eliya Proper,2019-02-13,2019-02-14
3695,,Nuwara Eliya Proper,2019-02-14,2019-02-15
3696,,Nuwara Eliya Proper,2019-02-15,2019-02-16
3697,,Nuwara Eliya Proper,2019-02-16,2019-02-17
3698,,Nuwara Eliya Proper,2019-02-17,2019-02-18
3699,0.0001733092446862,Nuwara Eliya Proper,2019-02-18,2019-02-19
3700,0.0002395688257623,Nuwara Eliya Proper,2019-02-19,2019-02-20
3701,0.0001075724904002,Nuwara Eliya Proper,2019-02-20,2019-02-21
3702,-7.767660943011708e-05,Nuwara Eliya Proper,2019-02-21,2019-02-22
3703,-2.5037994831152824e-05,Nuwara Eliya Proper,2019-02-22,2019-02-23
3704,0.0001895221819805,Nuwara Eliya Proper,2019-02-23,2019-02-24
3705,0.0002737589225376,Nuwara Eliya Proper,2019-02-24,2019-02-25
3706,,Nuwara Eliya Proper,2019-02-25,2019-02-26
3707,,Nuwara Eliya Proper,2019-02-26,2019-02-27
3708,,Nuwara Eliya Proper,2019-02-27,2019-02-28
3709,,Nuwara Eliya Proper,2019-02-28,2019-03-01
3710,,Nuwara Eliya Proper,2019-03-01,2019-03-02
3711,0.0001235405797752,Nuwara Eliya Proper,2019-03-02,2019-03-03
3712,,Nuwara Eliya Proper,2019-03-03,2019-03-04
3713,,Nuwara Eliya Proper,2019-03-04,2019-03-05
3714,0.0001477264081287,Nuwara Eliya Proper,2019-03-05,2019-03-06
3715,6.384192250393643e-05,Nuwara Eliya Proper,2019-03-06,2019-03-07
3716,0.0001673222246266,Nuwara Eliya Proper,2019-03-07,2019-03-08
3717,8.084443465562647e-05,Nuwara Eliya Proper,2019-03-08,2019-03-09
3718,,Nuwara Eliya Proper,2019-03-09,2019-03-10
3719,6.543632959168698e-05,Nuwara Eliya Proper,2019-03-10,2019-03-11
3720,6.152930957380892e-05,Nuwara Eliya Proper,2019-03-11,2019-03-12
3721,0.0002626515739848,Nuwara Eliya Proper,2019-03-12,2019-03-13
3722,,Nuwara Eliya Proper,2019-03-13,2019-03-14
3723,9.745691103711994e-05,Nuwara Eliya Proper,2019-03-14,2019-03-15
3724,0.0001547611296419,Nuwara Eliya Proper,2019-03-15,2019-03-16
3725,0.0001265224542416,Nuwara Eliya Proper,2019-03-16,2019-03-17
3726,,Nuwara Eliya Proper,2019-03-17,2019-03-18
3727,,Nuwara Eliya Proper,2019-03-18,2019-03-19
3728,3.81896059352209e-05,Nuwara Eliya Proper,2019-03-19,2019-03-20
3729,-4.17166297978817e-06,Nuwara Eliya Proper,2019-03-20,2019-03-21
3730,,Nuwara Eliya Proper,2019-03-21,2019-03-22
3731,6.845485111101992e-05,Nuwara Eliya Proper,2019-03-22,2019-03-23
3732,0.0001184572953092,Nuwara Eliya Proper,2019-03-23,2019-03-24
3733,0.0002337061979083,Nuwara Eliya Proper,2019-03-24,2019-03-25
3734,5.820339193343703e-05,Nuwara Eliya Proper,2019-03-25,2019-03-26
3735,8.722993536189284e-05,Nuwara Eliya Proper,2019-03-26,2019-03-27
3736,9.746027246583777e-05,Nuwara Eliya Proper,2019-03-27,2019-03-28
3737,0.0001692817181159,Nuwara Eliya Proper,2019-03-28,2019-03-29
3738,0.0001940701991971,Nuwara Eliya Proper,2019-03-29,2019-03-30
3739,0.000199954111486,Nuwara Eliya Proper,2019-03-30,2019-03-31
3740,0.0001030857769564,Nuwara Eliya Proper,2019-03-31,2019-04-01
3741,0.0001345494559591,Nuwara Eliya Proper,2019-04-01,2019-04-02
3742,0.000144982511753,Nuwara Eliya Proper,2019-04-02,2019-04-03
3743,0.0001425276102801,Nuwara Eliya Proper,2019-04-03,2019-04-04
3744,0.0001196842667319,Nuwara Eliya Proper,2019-04-04,2019-04-05
3745,,Nuwara Eliya Proper,2019-04-05,2019-04-06
3746,0.0001029167153844,Nuwara Eliya Proper,2019-04-06,2019-04-07
3747,,Nuwara Eliya Proper,2019-04-07,2019-04-08
3748,6.757815417269227e-05,Nuwara Eliya Proper,2019-04-08,2019-04-09
3749,,Nuwara Eliya Proper,2019-04-09,2019-04-10
3750,,Nuwara Eliya Proper,2019-04-10,2019-04-11
3751,-3.0204162612790245e-05,Nuwara Eliya Proper,2019-04-11,2019-04-12
3752,0.0001408357462238,Nuwara Eliya Proper,2019-04-12,2019-04-13
3753,0.0001905907485365,Nuwara Eliya Proper,2019-04-13,2019-04-14
3754,,Nuwara Eliya Proper,2019-04-14,2019-04-15
3755,,Nuwara Eliya Proper,2019-04-15,2019-04-16
3756,,Nuwara Eliya Proper,2019-04-16,2019-04-17
3757,,Nuwara Eliya Proper,2019-04-17,2019-04-18
3758,,Nuwara Eliya Proper,2019-04-18,2019-04-19
3759,-5.74071960045633e-05,Nuwara Eliya Proper,2019-04-19,2019-04-20
3760,,Nuwara Eliya Proper,2019-04-20,2019-04-21
3761,,Nuwara Eliya Proper,2019-04-21,2019-04-22
3762,0.0001024999823835,Nuwara Eliya Proper,2019-04-22,2019-04-23
3763,0.0001742585006953,Nuwara Eliya Proper,2019-04-23,2019-04-24
3764,0.0002955116204609,Nuwara Eliya Proper,2019-04-24,2019-04-25
3765,-4.44070437953798e-05,Nuwara Eliya Proper,2019-04-25,2019-04-26
3766,7.111501928962651e-05,Nuwara Eliya Proper,2019-04-26,2019-04-27
3767,,Nuwara Eliya Proper,2019-04-27,2019-04-28
3768,0.0001093271878134,Nuwara Eliya Proper,2019-04-28,2019-04-29
3769,,Nuwara Eliya Proper,2019-04-29,2019-04-30
3770,,Nuwara Eliya Proper,2019-04-30,2019-05-01
3771,0.0001203378887073,Nuwara Eliya Proper,2019-05-01,2019-05-02
3772,0.0001336923031109,Nuwara Eliya Proper,2019-05-02,2019-05-03
3773,,Nuwara Eliya Proper,2019-05-03,2019-05-04
3774,7.002533500214887e-05,Nuwara Eliya Proper,2019-05-04,2019-05-05
3775,4.388346007494007e-05,Nuwara Eliya Proper,2019-05-05,2019-05-06
3776,0.0001055412390811,Nuwara Eliya Proper,2019-05-06,2019-05-07
3777,0.0001036462577021,Nuwara Eliya Proper,2019-05-07,2019-05-08
3778,5.81859056799875e-05,Nuwara Eliya Proper,2019-05-08,2019-05-09
