HCHO Value,Date
0.0001908293886956,2019-01-03
5.0976259171277377e-05,2019-01-04
6.456645496655256e-05,2019-01-05
8.982348709518115e-05,2019-01-06
4.097797651418246e-05,2019-01-07
4.0520159353481214e-05,2019-01-08
4.0062342192779975e-05,2019-01-09
3.9604525032078735e-05,2019-01-10
3.914670787137749e-05,2019-01-11
4.013764100438482e-05,2019-01-12
4.112857413739215e-05,2019-01-13
4.211950727039948e-05,2019-01-14
4.27055256923008e-05,2019-01-15
7.52105368917504e-05,2019-01-16
0.0001077155480912,2019-01-17
2.1021983917616697e-05,2019-01-18
3.5177822608346057e-05,2019-01-19
8.95718212363389e-06,2019-01-20
0.0001169623557084,2019-01-21
0.0001423180803672,2019-01-22
5.387086215710865e-05,2019-01-23
5.8914353326833725e-05,2019-01-24
0.0001507556199401225,2019-01-25
0.00024259688655341123,2019-01-26
0.0001509017772374,2019-01-28
0.0001841569476548,2019-01-29
3.054402387193301e-05,2019-01-30
3.6008610393953005e-05,2019-01-31
7.778077086008773e-05,2019-02-01
7.975563658775878e-05,2019-02-02
8.173050231542983e-05,2019-02-03
8.370536804310088e-05,2019-02-04
8.568023377077191e-05,2019-02-05
8.765509949844296e-05,2019-02-06
8.962996522611401e-05,2019-02-07
6.902842232093944e-05,2019-02-08
6.221135869623225e-05,2019-02-09
5.539429507152505e-05,2019-02-10
6.350397812857201e-05,2019-02-11
7.161366118561896e-05,2019-02-12
7.972334424266592e-05,2019-02-13
9.844052433137274e-05,2019-02-14
0.00011715770442007955,2019-02-15
0.00013587488450878636,2019-02-16
0.00015459206459749318,2019-02-17
0.0001733092446862,2019-02-18
0.0002395688257623,2019-02-19
0.0001075724904002,2019-02-20
-7.767660943011708e-05,2019-02-21
-2.5037994831152824e-05,2019-02-22
0.0001895221819805,2019-02-23
0.0002487225320772,2019-02-25
0.0002236861416168,2019-02-26
0.0001986497511564,2019-02-27
0.000173613360696,2019-02-28
0.0001485769702356,2019-03-01
0.0001235405797752,2019-03-02
0.0001316025225597,2019-03-03
0.0001396644653442,2019-03-04
0.0001477264081287,2019-03-05
6.384192250393643e-05,2019-03-06
0.0001673222246266,2019-03-07
8.084443465562647e-05,2019-03-08
7.314038212365673e-05,2019-03-09
6.543632959168698e-05,2019-03-10
6.152930957380892e-05,2019-03-11
0.0002626515739848,2019-03-12
0.00018005424251095996,2019-03-13
9.745691103711994e-05,2019-03-14
0.0001547611296419,2019-03-15
0.0001265224542416,2019-03-16
9.707817147280696e-05,2019-03-17
6.763388870401394e-05,2019-03-18
3.81896059352209e-05,2019-03-19
-4.17166297978817e-06,2019-03-20
3.2141594065615876e-05,2019-03-21
6.845485111101992e-05,2019-03-22
0.0001184572953092,2019-03-23
0.0002337061979083,2019-03-24
5.820339193343703e-05,2019-03-25
8.722993536189284e-05,2019-03-26
9.746027246583777e-05,2019-03-27
0.0001692817181159,2019-03-28
0.0001940701991971,2019-03-29
0.000199954111486,2019-03-30
0.0001030857769564,2019-03-31
0.0001345494559591,2019-04-01
0.000144982511753,2019-04-02
0.0001425276102801,2019-04-03
0.0001196842667319,2019-04-04
0.00011130049105815,2019-04-05
0.0001029167153844,2019-04-06
8.524743477854614e-05,2019-04-07
6.757815417269227e-05,2019-04-08
3.498404857753143e-05,2019-04-09
2.3899429823705947e-06,2019-04-10
-3.0204162612790245e-05,2019-04-11
0.0001408357462238,2019-04-12
0.0001905907485365,2019-04-13
0.00014925775777965613,2019-04-14
0.00010792476702281224,2019-04-15
6.659177626596835e-05,2019-04-16
2.525878550912447e-05,2019-04-17
-1.607420524771941e-05,2019-04-18
-5.74071960045633e-05,2019-04-19
-4.104803208542198e-06,2019-04-20
4.9197589587478906e-05,2019-04-21
0.0001024999823835,2019-04-22
0.0001742585006953,2019-04-23
-4.44070437953798e-05,2019-04-25
7.111501928962651e-05,2019-04-26
9.022110355151326e-05,2019-04-27
0.0001093271878134,2019-04-28
0.0001129974214447,2019-04-29
0.000116667655076,2019-04-30
0.0001203378887073,2019-05-01
0.0001336923031109,2019-05-02
0.00010185881905652443,2019-05-03
7.002533500214887e-05,2019-05-04
4.388346007494007e-05,2019-05-05
0.0001055412390811,2019-05-06
0.0001036462577021,2019-05-07
5.81859056799875e-05,2019-05-08
0.0002151863254373,2019-05-09
0.0001520700378357,2019-05-10
8.896596670445717e-05,2019-05-11
0.00015234314287760475,2019-05-12
0.00021572031905075237,2019-05-13
0.0002221362230624,2019-05-15
0.0001343666372122,2019-05-16
0.0001796590707575,2019-05-17
0.0002249515043028,2019-05-18
8.031848961353504e-05,2019-05-20
0.0001222873862844,2019-05-21
7.905575695833164e-05,2019-05-22
3.5824127632263266e-05,2019-05-23
-7.4075016938050895e-06,2019-05-24
-5.063913101987346e-05,2019-05-25
3.6341561558326346e-05,2019-05-26
0.0001195644109596,2019-05-27
9.84078342114136e-05,2019-05-28
0.0001370126083911,2019-05-29
5.092769901518664e-05,2019-05-30
5.587982157832464e-05,2019-06-01
3.772535689224513e-05,2019-06-02
-1.7709887699493803e-05,2019-06-03
-3.70791382327301e-05,2019-06-04
-5.6448388765966406e-05,2019-06-05
-7.581763929920271e-05,2019-06-06
-1.5780065277868473e-05,2019-06-07
4.4257508743465764e-05,2019-06-08
0.0001042950827648,2019-06-09
9.644106523652276e-05,2019-06-10
8.858704770824554e-05,2019-06-11
-1.5747418729006313e-05,2019-06-12
0.0001989688025787,2019-06-13
0.00012985684395256335,2019-06-14
6.074488532642667e-05,2019-06-15
0.000101215088715,2019-06-16
8.275653874941797e-05,2019-06-17
8.291602308825832e-06,2019-06-18
4.317640515599125e-05,2019-06-19
9.229919803482012e-05,2019-06-20
0.00012011789468611004,2019-06-21
0.0001479365913374,2019-06-22
6.17899931725921e-05,2019-06-23
8.612760644862806e-05,2019-06-24
0.00011046521972466402,2019-06-25
