,HCHO Value,HCHO Value,HCHO Value,HCHO Value,HCHO Value,HCHO Value,HCHO Value,Date
2019-01-02,9.220391253917748e-05,0.0002625522171968,1.919914652467399e-05,5.803530712000793e-06,0.0001017952795536,0.0001370787402778,,
2019-01-03,0.0001415360554622,9.852118897938794e-05,2.811447935930284e-05,0.0002362357772653,3.93133105404262e-05,0.0001480085027113,,
2019-01-04,0.0001908681983853,0.0002099320518114,3.747998184385943e-05,6.437245753953118e-05,-2.3839846576184498e-06,-2.046379059735541e-06,,
2019-01-05,0.0001219517840206,0.0001785337298892,-1.7982608793453114e-05,5.349707092885017e-05,0.0001589137302293,0.0002489134742856,,
2019-01-06,-6.514086129388805e-05,0.0001082296700235,0.0001457836896179,0.0001315594859189,7.539679629744287e-05,0.0001015583300177,,
2019-01-07,0.0001632382063926,,2.8285908025465342e-05,6.269859896976347e-05,0.0001799237734955,0.000191905666819,,
2019-01-08,-6.735205533914268e-05,9.153156350685353e-05,8.518546236523268e-05,2.298263979970634e-05,9.470708011674723e-05,0.0001215500456138,,
2019-01-09,0.0001279693658243,0.0001205978992853,0.000142085016705,4.74425558334294e-05,2.109364950895559e-06,9.741700467262771e-05,,
2019-01-10,4.546048424126012e-05,0.0001297723562983,8.111544808786291e-05,7.190247186715247e-05,0.0001318967807501,0.0001130342628012,,
2019-01-11,3.600074175192105e-05,0.0002239188166801,2.014587947072581e-05,0.0001542091441034,0.0001337016372402,7.047632943988818e-05,,
2019-01-12,0.000128662969801,0.0001569418094178,0.000158278766321,0.0001406986305217,5.9570030841276426e-05,0.0001691712548577,,
2019-01-13,0.0001178966343563,0.000145285500052,0.0001386952570461,0.0001177567927217,-4.157867137825242e-05,0.0001420891497543,,
2019-01-14,0.0001071302989117,0.0001336291906862,0.0001191117477712,9.48149549218119e-05,2.010835129084908e-05,0.000115007044651,,
2019-01-15,9.63639634671553e-05,6.374417842690063e-05,9.952823849642218e-05,7.187311712186784e-05,3.94847944175773e-05,8.792493954777681e-05,,
2019-01-16,0.0001082305456577,0.0001181062250815,7.484570960514249e-05,3.5053075407631695e-05,6.686277882732807e-05,6.834336052834083e-05,,
2019-01-17,0.0001200971278484,0.0002472555222423,7.736112226328797e-05,0.0001694853136055,5.18184452543004e-05,0.0001380624797849,,
2019-01-19,0.0002825263761529,,3.9881410104076654e-05,,1.707625620314082e-05,,,
2019-01-20,7.150631692646835e-05,0.0001687856216479,0.0001891620203853,6.0375266285424514e-05,-5.2767861370760775e-05,9.75617828184706e-05,,
2019-01-21,0.0002833741508232,0.0003881549328739,0.0001159969926423,-7.58294658224229e-05,0.0001840677559424,0.0001959789194475,,
2019-01-22,0.0002659407549829,0.0003282922940445,0.0001413523623709,3.363791867442001e-05,9.561663077100936e-05,0.0002374446632005,,
2019-01-23,5.8649506506635245e-05,0.0002147798144691,7.165379525100222e-05,0.0001753175803488,0.0001003762537841,0.0001623734482581,,
2019-01-24,-3.940558338151006e-06,0.000234724519641,2.1549948286071076e-05,5.2793313875356256e-05,7.40591053869194e-05,,,
2019-01-25,0.0001092931769982,0.0002820915300341,-2.8553898678860067e-05,7.92579220838172e-05,8.133567760369957e-05,0.0001278521652785,,
2019-01-26,7.03689579655349e-05,0.0002507263493088,7.600673515856997e-05,0.0001057225302922,7.100806903845069e-05,0.0001660436439104,,
2019-01-27,0.0001647056354631,0.0001973288435314,0.000180567368996,0.0001321871385007,0.0001575832971284,0.0001499965666254,,
2019-01-28,0.0001130180465294,0.0002555121674807,9.113160086427456e-05,0.0001586517467092,0.0001559252593195,0.0001080499254242,,
2019-01-29,0.0001141272676955,0.0002134378705408,7.241739856355372e-05,0.0001037720817875,0.0001565067390967,0.0001158141900096,,
2019-01-30,-3.000156427858255e-05,0.000171363573601,5.669942299414417e-05,7.572646223105508e-05,7.858827423877602e-05,0.0001113523173507,,
2019-01-31,1.5133123262338617e-05,0.0001523802119023,4.098144742473462e-05,4.768084267461017e-05,5.2357333762168965e-05,2.449285979142846e-05,,
2019-02-01,9.510527997488848e-05,0.0003537610010169,5.186428352058307e-05,5.617168790830808e-05,3.92767249346337e-05,0.0001926267275908,,
2019-02-02,3.0694719505487384e-05,0.0002755728995643,4.359413357770583e-05,-1.3768205917585874e-06,4.13203491997759e-05,4.824408500716178e-05,,
2019-02-03,3.1824971193239286e-05,0.0002318846498078,3.532398363482859e-05,0.0001028843263981,7.24383640488506e-05,-3.666930620912048e-05,,
2019-02-04,3.295522288099118e-05,0.0002968667089437,2.7053833691951344e-05,0.000103548176412,5.6259689715257e-05,3.933392915871968e-05,,
2019-02-05,3.408547456874308e-05,0.0003618487680796,1.8783683749074103e-05,8.412867361170815e-05,4.00810153816634e-05,0.0001153371645265,,
2019-02-06,3.521572625649498e-05,0.0003430663631539,1.051353380619686e-05,-2.009600759496182e-06,2.390234104806981e-05,0.0001913403998944,,
2019-02-07,0.000144733119523,0.0002123314538243,4.076109671524861e-05,0.0001495798303155,0.0001053063940188,0.0002947662047032,,
2019-02-08,7.648542999350917e-05,0.0001679798012516,7.59353421234044e-05,0.0002421511611906,0.0001589486283796,0.0002970068599097,,
2019-02-09,7.212305487944104e-05,0.0003816050368887,7.47105844841701e-05,0.0001922783626056,8.587924520412733e-05,0.0001861212108165,,
2019-02-10,6.776067976537293e-05,0.0002650819171274,7.34858268449358e-05,0.0001424055640207,0.0001535258003232,7.523556172334847e-05,,
2019-02-11,6.33983046513048e-05,0.0001981789630254,1.0584419214865193e-05,9.253276543587998e-05,3.2951201334642755e-05,0.0001297080667525,,
2019-02-12,6.099527672631667e-05,5.8587178500602015e-05,6.919795120446755e-05,0.0001574102690481,6.52509876969887e-05,6.270259499786078e-05,,
2019-02-13,4.688580190346305e-05,0.0002542805951476,0.0001002479887681,6.523994226828871e-05,8.473493836064989e-05,8.990000185560485e-05,,
2019-02-14,3.277632708060944e-05,0.0002391359062026,0.0001312980263317,,4.350650882572056e-05,7.931416535107657e-05,,
2019-02-15,1.8666852257755813e-05,0.0002239912172577,0.0001623480638954,-1.9925786082497597e-05,0.0001286444716494,6.0740207710781725e-05,,
2019-02-16,8.56204799559279e-05,0.0002091493159849,2.6644206895973665e-05,8.038732615390482e-05,7.220437792754523e-05,0.0001054557086229,,
2019-02-17,0.0001525741076541,0.0001262731392288,0.0001362413198283,,0.0001996613275805,0.0001501712095351,,
2019-02-18,0.0001316059809503,0.0002255146318446,5.895095797941796e-05,0.0001293821304845,0.0001144786617752,0.0002017258506288,,
2019-02-19,5.400887798459826e-05,0.0003180786698506,7.990708924877695e-05,0.0001168615135118,0.0001779951041252,0.0002586245505792,,
