,HCHO Value,Date
2019-01-02 00:00:00,5.803530712000793e-06,2019-01-02
2019-01-03 00:00:00,0.0002362357772653,2019-01-03
2019-01-04 00:00:00,6.437245753953118e-05,2019-01-04
2019-01-05 00:00:00,5.349707092885017e-05,2019-01-05
2019-01-06 00:00:00,0.0001315594859189,2019-01-06
2019-01-07 00:00:00,6.269859896976347e-05,2019-01-07
2019-01-08 00:00:00,2.298263979970634e-05,2019-01-08
2019-01-09 00:00:00,4.74425558334294e-05,2019-01-09
2019-01-10 00:00:00,7.190247186715247e-05,2019-01-10
2019-01-11 00:00:00,0.0001542091441034,2019-01-11
2019-01-12 00:00:00,0.0001406986305217,2019-01-12
2019-01-13 00:00:00,0.0001177567927217,2019-01-13
2019-01-14 00:00:00,9.48149549218119e-05,2019-01-14
2019-01-15 00:00:00,7.187311712186784e-05,2019-01-15
2019-01-16 00:00:00,3.5053075407631695e-05,2019-01-16
2019-01-17 00:00:00,0.0001694853136055,2019-01-17
2019-01-20 00:00:00,6.0375266285424514e-05,2019-01-20
2019-01-21 00:00:00,-7.58294658224229e-05,2019-01-21
2019-01-22 00:00:00,3.363791867442001e-05,2019-01-22
2019-01-23 00:00:00,0.0001753175803488,2019-01-23
2019-01-24 00:00:00,5.2793313875356256e-05,2019-01-24
2019-01-25 00:00:00,7.92579220838172e-05,2019-01-25
2019-01-26 00:00:00,0.0001057225302922,2019-01-26
2019-01-27 00:00:00,0.0001321871385007,2019-01-27
2019-01-28 00:00:00,0.0001586517467092,2019-01-28
2019-01-29 00:00:00,0.0001037720817875,2019-01-29
2019-01-30 00:00:00,7.572646223105508e-05,2019-01-30
2019-01-31 00:00:00,4.768084267461017e-05,2019-01-31
2019-02-01 00:00:00,5.617168790830808e-05,2019-02-01
2019-02-02 00:00:00,-1.3768205917585874e-06,2019-02-02
2019-02-03 00:00:00,0.0001028843263981,2019-02-03
2019-02-04 00:00:00,0.000103548176412,2019-02-04
2019-02-05 00:00:00,8.412867361170815e-05,2019-02-05
2019-02-06 00:00:00,-2.009600759496182e-06,2019-02-06
2019-02-07 00:00:00,0.0001495798303155,2019-02-07
2019-02-08 00:00:00,0.0002421511611906,2019-02-08
2019-02-09 00:00:00,0.0001922783626056,2019-02-09
2019-02-10 00:00:00,0.0001424055640207,2019-02-10
2019-02-11 00:00:00,9.253276543587998e-05,2019-02-11
2019-02-12 00:00:00,0.0001574102690481,2019-02-12
2019-02-13 00:00:00,6.523994226828871e-05,2019-02-13
2019-02-15 00:00:00,-1.9925786082497597e-05,2019-02-15
2019-02-16 00:00:00,8.038732615390482e-05,2019-02-16
2019-02-18 00:00:00,0.0001293821304845,2019-02-18
2019-02-19 00:00:00,0.0001168615135118,2019-02-19
2019-02-20 00:00:00,8.337509543093406e-05,2019-02-20
2019-02-21 00:00:00,2.514510513135289e-05,2019-02-21
2019-02-22 00:00:00,0.0001425070075459,2019-02-22
2019-02-23 00:00:00,0.0001366694245436,2019-02-23
2019-02-24 00:00:00,0.0001627625602433,2019-02-24
2019-02-25 00:00:00,0.0001543677869547,2019-02-25
2019-02-26 00:00:00,0.0001583762494085,2019-02-26
2019-02-27 00:00:00,0.0001623847118623,2019-02-27
2019-02-28 00:00:00,0.0001663931743162,2019-02-28
2019-03-01 00:00:00,6.961796332611105e-05,2019-03-01
2019-03-02 00:00:00,-2.715724766397789e-05,2019-03-02
2019-03-05 00:00:00,0.0002039002582908,2019-03-05
2019-03-06 00:00:00,9.971738595225878e-05,2019-03-06
2019-03-07 00:00:00,0.0001356645928779,2019-03-07
2019-03-08 00:00:00,9.87355639618488e-05,2019-03-08
2019-03-09 00:00:00,7.760127652979272e-05,2019-03-09
2019-03-10 00:00:00,5.646698909773664e-05,2019-03-10
2019-03-11 00:00:00,0.0001590144307147,2019-03-11
2019-03-12 00:00:00,0.0001171489486397,2019-03-12
2019-03-13 00:00:00,0.0001924904426754,2019-03-13
2019-03-14 00:00:00,0.0002678319367111,2019-03-14
2019-03-15 00:00:00,0.0001973485736028,2019-03-15
2019-03-16 00:00:00,5.13548232774661e-05,2019-03-16
2019-03-17 00:00:00,4.796497584536863e-05,2019-03-17
2019-03-18 00:00:00,4.457512841327116e-05,2019-03-18
2019-03-19 00:00:00,0.0002551880668476,2019-03-19
2019-03-20 00:00:00,8.954724124801195e-05,2019-03-20
2019-03-21 00:00:00,9.882714528895598e-05,2019-03-21
2019-03-22 00:00:00,0.0001081070493299,2019-03-22
2019-03-23 00:00:00,0.0001883458499592,2019-03-23
2019-03-24 00:00:00,0.000171727504349,2019-03-24
2019-03-26 00:00:00,0.0001650504145461,2019-03-26
2019-03-27 00:00:00,0.0001789494366016,2019-03-27
2019-03-28 00:00:00,0.0001818030703527,2019-03-28
2019-03-29 00:00:00,4.044847087752865e-05,2019-03-29
2019-03-30 00:00:00,-3.0314153493748305e-05,2019-03-30
2019-03-31 00:00:00,3.715781228257585e-05,2019-03-31
2019-04-01 00:00:00,0.0001046297780589,2019-04-01
2019-04-02 00:00:00,8.128573946871756e-05,2019-04-02
2019-04-03 00:00:00,6.149668792726311e-05,2019-04-03
2019-04-04 00:00:00,9.296972991768896e-05,2019-04-04
2019-04-05 00:00:00,0.0001294405679234,2019-04-05
2019-04-06 00:00:00,0.0001659114059293,2019-04-06
2019-04-07 00:00:00,0.0001549008783966,2019-04-07
2019-04-08 00:00:00,0.000143890350864,2019-04-08
2019-04-09 00:00:00,0.0001029608569417,2019-04-09
2019-04-10 00:00:00,6.20313630194549e-05,2019-04-10
2019-04-11 00:00:00,8.426213025813922e-05,2019-04-11
2019-04-12 00:00:00,0.0001655760267849,2019-04-12
2019-04-13 00:00:00,0.0002243445980376,2019-04-13
2019-04-14 00:00:00,0.0002010144276771,2019-04-14
2019-04-15 00:00:00,0.0001776842573166,2019-04-15
2019-04-16 00:00:00,0.0001543540869561,2019-04-16
2019-04-17 00:00:00,0.0001310239165956,2019-04-17
2019-04-18 00:00:00,0.0001076937462352,2019-04-18
2019-04-19 00:00:00,0.0001099456045888,2019-04-19
2019-04-20 00:00:00,0.0001121974629424,2019-04-20
2019-04-21 00:00:00,0.000114449321296,2019-04-21
2019-04-22 00:00:00,0.0001167011796496,2019-04-22
2019-04-23 00:00:00,5.12579766773392e-05,2019-04-23
2019-04-24 00:00:00,0.0001783669821192,2019-04-24
