,HCHO Value,Date
2019-01-01 00:00:00,5.830909719406619e-05,2019-01-01
2019-01-02 00:00:00,0.0001017952795536,2019-01-02
2019-01-03 00:00:00,3.93133105404262e-05,2019-01-03
2019-01-04 00:00:00,-2.3839846576184498e-06,2019-01-04
2019-01-05 00:00:00,0.0001589137302293,2019-01-05
2019-01-06 00:00:00,7.539679629744287e-05,2019-01-06
2019-01-07 00:00:00,0.0001799237734955,2019-01-07
2019-01-08 00:00:00,9.470708011674723e-05,2019-01-08
2019-01-09 00:00:00,2.109364950895559e-06,2019-01-09
2019-01-10 00:00:00,0.0001318967807501,2019-01-10
2019-01-11 00:00:00,0.0001337016372402,2019-01-11
2019-01-12 00:00:00,5.9570030841276426e-05,2019-01-12
2019-01-13 00:00:00,-4.157867137825242e-05,2019-01-13
2019-01-14 00:00:00,2.010835129084908e-05,2019-01-14
2019-01-15 00:00:00,3.94847944175773e-05,2019-01-15
2019-01-16 00:00:00,6.686277882732807e-05,2019-01-16
2019-01-17 00:00:00,5.18184452543004e-05,2019-01-17
2019-01-18 00:00:00,9.154995885051224e-05,2019-01-18
2019-01-19 00:00:00,1.707625620314082e-05,2019-01-19
2019-01-20 00:00:00,-5.2767861370760775e-05,2019-01-20
2019-01-21 00:00:00,0.0001840677559424,2019-01-21
2019-01-22 00:00:00,9.561663077100936e-05,2019-01-22
2019-01-23 00:00:00,0.0001003762537841,2019-01-23
2019-01-24 00:00:00,7.40591053869194e-05,2019-01-24
2019-01-25 00:00:00,8.133567760369957e-05,2019-01-25
2019-01-26 00:00:00,7.100806903845069e-05,2019-01-26
2019-01-27 00:00:00,0.0001575832971284,2019-01-27
2019-01-28 00:00:00,0.0001559252593195,2019-01-28
2019-01-29 00:00:00,0.0001565067390967,2019-01-29
2019-01-30 00:00:00,7.858827423877602e-05,2019-01-30
2019-01-31 00:00:00,5.2357333762168965e-05,2019-01-31
2019-02-01 00:00:00,3.92767249346337e-05,2019-02-01
2019-02-02 00:00:00,4.13203491997759e-05,2019-02-02
2019-02-03 00:00:00,7.24383640488506e-05,2019-02-03
2019-02-04 00:00:00,5.6259689715257e-05,2019-02-04
2019-02-05 00:00:00,4.00810153816634e-05,2019-02-05
2019-02-06 00:00:00,2.390234104806981e-05,2019-02-06
2019-02-07 00:00:00,0.0001053063940188,2019-02-07
2019-02-08 00:00:00,0.0001589486283796,2019-02-08
2019-02-09 00:00:00,8.587924520412733e-05,2019-02-09
2019-02-10 00:00:00,0.0001535258003232,2019-02-10
2019-02-11 00:00:00,3.2951201334642755e-05,2019-02-11
2019-02-12 00:00:00,6.52509876969887e-05,2019-02-12
2019-02-13 00:00:00,8.473493836064989e-05,2019-02-13
2019-02-14 00:00:00,4.350650882572056e-05,2019-02-14
2019-02-15 00:00:00,0.0001286444716494,2019-02-15
2019-02-16 00:00:00,7.220437792754523e-05,2019-02-16
2019-02-17 00:00:00,0.0001996613275805,2019-02-17
2019-02-18 00:00:00,0.0001144786617752,2019-02-18
2019-02-19 00:00:00,0.0001779951041252,2019-02-19
2019-02-20 00:00:00,9.03136843347107e-05,2019-02-20
2019-02-21 00:00:00,4.6319964771203575e-05,2019-02-21
2019-02-22 00:00:00,5.7038448135490425e-05,2019-02-22
2019-02-23 00:00:00,2.541906521424961e-05,2019-02-23
2019-02-24 00:00:00,0.000102055793893,2019-02-24
2019-02-25 00:00:00,0.0001436022726529,2019-02-25
2019-02-26 00:00:00,3.027809876520691e-05,2019-02-26
2019-02-27 00:00:00,0.000135316916096,2019-02-27
2019-02-28 00:00:00,0.0002099835616997,2019-02-28
2019-03-01 00:00:00,0.0001322391099312,2019-03-01
2019-03-02 00:00:00,5.449465816276849e-05,2019-03-02
2019-03-03 00:00:00,9.6661204352337e-05,2019-03-03
2019-03-04 00:00:00,9.596860819798644e-05,2019-03-04
2019-03-05 00:00:00,0.00018282723756,2019-03-05
2019-03-06 00:00:00,3.726789927856213e-05,2019-03-06
2019-03-07 00:00:00,0.0001146398530123,2019-03-07
2019-03-08 00:00:00,5.839432739258154e-05,2019-03-08
2019-03-09 00:00:00,6.154108984927151e-05,2019-03-09
2019-03-10 00:00:00,6.468785230596147e-05,2019-03-10
2019-03-11 00:00:00,0.0001142912680418,2019-03-11
2019-03-12 00:00:00,0.0001032588562612,2019-03-12
2019-03-14 00:00:00,7.003770803236358e-05,2019-03-14
2019-03-15 00:00:00,8.715531025828512e-05,2019-03-15
2019-03-16 00:00:00,8.950293663013654e-05,2019-03-16
2019-03-17 00:00:00,6.708069847282744e-05,2019-03-17
2019-03-18 00:00:00,0.0001714661515889,2019-03-18
2019-03-19 00:00:00,0.0001304222284758,2019-03-19
2019-03-20 00:00:00,0.0001652603496458,2019-03-20
