,HCHO Value,Date
2019-01-02 00:00:00,9.220391253917748e-05,2019-01-02
2019-01-03 00:00:00,0.0001415360554622,2019-01-03
2019-01-04 00:00:00,0.0001908681983853,2019-01-04
2019-01-05 00:00:00,0.0001219517840206,2019-01-05
2019-01-06 00:00:00,-6.514086129388805e-05,2019-01-06
2019-01-07 00:00:00,0.0001632382063926,2019-01-07
2019-01-08 00:00:00,-6.735205533914268e-05,2019-01-08
2019-01-09 00:00:00,0.0001279693658243,2019-01-09
2019-01-10 00:00:00,4.546048424126012e-05,2019-01-10
2019-01-11 00:00:00,3.600074175192105e-05,2019-01-11
2019-01-12 00:00:00,0.000128662969801,2019-01-12
2019-01-13 00:00:00,0.0001178966343563,2019-01-13
2019-01-14 00:00:00,0.0001071302989117,2019-01-14
2019-01-15 00:00:00,9.63639634671553e-05,2019-01-15
2019-01-16 00:00:00,0.0001082305456577,2019-01-16
2019-01-17 00:00:00,0.0001200971278484,2019-01-17
2019-01-19 00:00:00,0.0002825263761529,2019-01-19
2019-01-20 00:00:00,7.150631692646835e-05,2019-01-20
2019-01-21 00:00:00,0.0002833741508232,2019-01-21
2019-01-22 00:00:00,0.0002659407549829,2019-01-22
2019-01-23 00:00:00,5.8649506506635245e-05,2019-01-23
2019-01-24 00:00:00,-3.940558338151006e-06,2019-01-24
2019-01-25 00:00:00,0.0001092931769982,2019-01-25
2019-01-26 00:00:00,7.03689579655349e-05,2019-01-26
2019-01-27 00:00:00,0.0001647056354631,2019-01-27
2019-01-28 00:00:00,0.0001130180465294,2019-01-28
2019-01-29 00:00:00,0.0001141272676955,2019-01-29
2019-01-30 00:00:00,-3.000156427858255e-05,2019-01-30
2019-01-31 00:00:00,1.5133123262338617e-05,2019-01-31
2019-02-01 00:00:00,9.510527997488848e-05,2019-02-01
2019-02-02 00:00:00,3.0694719505487384e-05,2019-02-02
2019-02-03 00:00:00,3.1824971193239286e-05,2019-02-03
2019-02-04 00:00:00,3.295522288099118e-05,2019-02-04
2019-02-05 00:00:00,3.408547456874308e-05,2019-02-05
2019-02-06 00:00:00,3.521572625649498e-05,2019-02-06
2019-02-07 00:00:00,0.000144733119523,2019-02-07
2019-02-08 00:00:00,7.648542999350917e-05,2019-02-08
2019-02-09 00:00:00,7.212305487944104e-05,2019-02-09
2019-02-10 00:00:00,6.776067976537293e-05,2019-02-10
2019-02-11 00:00:00,6.33983046513048e-05,2019-02-11
2019-02-12 00:00:00,6.099527672631667e-05,2019-02-12
2019-02-13 00:00:00,4.688580190346305e-05,2019-02-13
2019-02-14 00:00:00,3.277632708060944e-05,2019-02-14
2019-02-15 00:00:00,1.8666852257755813e-05,2019-02-15
2019-02-16 00:00:00,8.56204799559279e-05,2019-02-16
2019-02-17 00:00:00,0.0001525741076541,2019-02-17
2019-02-18 00:00:00,0.0001316059809503,2019-02-18
2019-02-19 00:00:00,5.400887798459826e-05,2019-02-19
2019-02-20 00:00:00,3.130874441109665e-05,2019-02-20
2019-02-21 00:00:00,-1.98339014766147e-06,2019-02-21
2019-02-22 00:00:00,0.0001148911736891,2019-02-22
2019-02-23 00:00:00,0.0002118789208893,2019-02-23
2019-02-24 00:00:00,3.663116612296087e-05,2019-02-24
2019-02-25 00:00:00,4.493778690247384e-05,2019-02-25
2019-02-26 00:00:00,5.867993672157907e-05,2019-02-26
2019-02-27 00:00:00,7.24220865406843e-05,2019-02-27
2019-02-28 00:00:00,8.616423635978954e-05,2019-02-28
2019-03-01 00:00:00,9.990638617889476e-05,2019-03-01
2019-03-02 00:00:00,0.000113648535998,2019-03-02
2019-03-03 00:00:00,0.0001120620195392,2019-03-03
2019-03-04 00:00:00,0.0002530551243115,2019-03-04
2019-03-05 00:00:00,0.0002326652722074,2019-03-05
2019-03-06 00:00:00,0.0001284045619553,2019-03-06
2019-03-07 00:00:00,0.0001646112972623,2019-03-07
2019-03-08 00:00:00,0.000177511546709,2019-03-08
2019-03-09 00:00:00,0.0001456575942748,2019-03-09
2019-03-10 00:00:00,0.0001138036418406,2019-03-10
2019-03-11 00:00:00,0.0001638923213232,2019-03-11
2019-03-12 00:00:00,0.0001764080320851,2019-03-12
2019-03-13 00:00:00,4.218809439496275e-05,2019-03-13
2019-03-14 00:00:00,0.0001620084507506,2019-03-14
2019-03-15 00:00:00,0.0001104143683767,2019-03-15
2019-03-16 00:00:00,0.0001981838605184,2019-03-16
2019-03-17 00:00:00,0.0001831507209264,2019-03-17
2019-03-18 00:00:00,-4.018462979616311e-05,2019-03-18
2019-03-19 00:00:00,0.0002067529282929,2019-03-19
2019-03-20 00:00:00,0.0001473883183271,2019-03-20
2019-03-21 00:00:00,0.0001632171220172,2019-03-21
2019-03-22 00:00:00,0.0001790459257074,2019-03-22
2019-03-23 00:00:00,0.0002131191848019,2019-03-23
2019-03-24 00:00:00,0.0002471924438964,2019-03-24
2019-03-25 00:00:00,0.000219244095107,2019-03-25
2019-03-26 00:00:00,9.90805371426681e-05,2019-03-26
2019-03-27 00:00:00,0.0002333027310032,2019-03-27
2019-03-28 00:00:00,0.0002802419303598,2019-03-28
2019-03-30 00:00:00,0.0001790145679855,2019-03-30
2019-03-31 00:00:00,0.0002927234455484,2019-03-31
2019-04-02 00:00:00,0.0001707946467973,2019-04-02
2019-04-03 00:00:00,0.0002427714893424,2019-04-03
2019-04-04 00:00:00,0.0002338054752107,2019-04-04
2019-04-05 00:00:00,0.0001627528749175,2019-04-05
2019-04-06 00:00:00,0.0001725198818631,2019-04-06
