,HCHO Value,Date
2019-01-01 00:00:00,8.829725542537962e-05,2019-01-01
2019-01-02 00:00:00,0.0001370787402778,2019-01-02
2019-01-03 00:00:00,0.0001480085027113,2019-01-03
2019-01-04 00:00:00,-2.046379059735541e-06,2019-01-04
2019-01-05 00:00:00,0.0002489134742856,2019-01-05
2019-01-06 00:00:00,0.0001015583300177,2019-01-06
2019-01-07 00:00:00,0.000191905666819,2019-01-07
2019-01-08 00:00:00,0.0001215500456138,2019-01-08
2019-01-09 00:00:00,9.741700467262771e-05,2019-01-09
2019-01-10 00:00:00,0.0001130342628012,2019-01-10
2019-01-11 00:00:00,7.047632943988818e-05,2019-01-11
2019-01-12 00:00:00,0.0001691712548577,2019-01-12
2019-01-13 00:00:00,0.0001420891497543,2019-01-13
2019-01-14 00:00:00,0.000115007044651,2019-01-14
2019-01-15 00:00:00,8.792493954777681e-05,2019-01-15
2019-01-16 00:00:00,6.834336052834083e-05,2019-01-16
2019-01-17 00:00:00,0.0001380624797849,2019-01-17
2019-01-18 00:00:00,0.0001738223309452,2019-01-18
2019-01-20 00:00:00,9.75617828184706e-05,2019-01-20
2019-01-21 00:00:00,0.0001959789194475,2019-01-21
2019-01-22 00:00:00,0.0002374446632005,2019-01-22
2019-01-23 00:00:00,0.0001623734482581,2019-01-23
2019-01-25 00:00:00,0.0001278521652785,2019-01-25
2019-01-26 00:00:00,0.0001660436439104,2019-01-26
2019-01-27 00:00:00,0.0001499965666254,2019-01-27
2019-01-28 00:00:00,0.0001080499254242,2019-01-28
2019-01-29 00:00:00,0.0001158141900096,2019-01-29
2019-01-30 00:00:00,0.0001113523173507,2019-01-30
2019-01-31 00:00:00,2.449285979142846e-05,2019-01-31
2019-02-01 00:00:00,0.0001926267275908,2019-02-01
2019-02-02 00:00:00,4.824408500716178e-05,2019-02-02
2019-02-03 00:00:00,-3.666930620912048e-05,2019-02-03
2019-02-04 00:00:00,3.933392915871968e-05,2019-02-04
2019-02-05 00:00:00,0.0001153371645265,2019-02-05
2019-02-06 00:00:00,0.0001913403998944,2019-02-06
2019-02-07 00:00:00,0.0002947662047032,2019-02-07
2019-02-08 00:00:00,0.0002970068599097,2019-02-08
2019-02-09 00:00:00,0.0001861212108165,2019-02-09
2019-02-10 00:00:00,7.523556172334847e-05,2019-02-10
2019-02-11 00:00:00,0.0001297080667525,2019-02-11
2019-02-12 00:00:00,6.270259499786078e-05,2019-02-12
2019-02-13 00:00:00,8.990000185560485e-05,2019-02-13
2019-02-14 00:00:00,7.931416535107657e-05,2019-02-14
2019-02-15 00:00:00,6.0740207710781725e-05,2019-02-15
2019-02-16 00:00:00,0.0001054557086229,2019-02-16
2019-02-17 00:00:00,0.0001501712095351,2019-02-17
2019-02-18 00:00:00,0.0002017258506288,2019-02-18
2019-02-19 00:00:00,0.0002586245505792,2019-02-19
2019-02-20 00:00:00,8.79509593267587e-05,2019-02-20
2019-02-21 00:00:00,0.0001464546481548,2019-02-21
2019-02-22 00:00:00,0.0001375125401253,2019-02-22
2019-02-24 00:00:00,0.0002361983539606,2019-02-24
2019-02-25 00:00:00,8.145316466296842e-05,2019-02-25
2019-02-26 00:00:00,0.0001796735993672,2019-02-26
2019-02-27 00:00:00,0.0002322736580558,2019-02-27
2019-02-28 00:00:00,0.000230250141851,2019-02-28
2019-03-01 00:00:00,0.0002282266256462,2019-03-01
2019-03-02 00:00:00,0.0002262031094414,2019-03-02
2019-03-03 00:00:00,0.0001259866889363,2019-03-03
2019-03-04 00:00:00,0.0001714544313468,2019-03-04
2019-03-05 00:00:00,0.0001342028527037,2019-03-05
2019-03-06 00:00:00,0.0001580027758568,2019-03-06
2019-03-07 00:00:00,0.0001892068657825,2019-03-07
2019-03-08 00:00:00,0.0001039425656943,2019-03-08
2019-03-09 00:00:00,0.0001303730283734,2019-03-09
2019-03-10 00:00:00,0.0001568034910526,2019-03-10
2019-03-11 00:00:00,0.0002545370341487,2019-03-11
2019-03-12 00:00:00,0.0001662309292288,2019-03-12
2019-03-14 00:00:00,0.000265097141989,2019-03-14
2019-03-15 00:00:00,0.0002519274524677,2019-03-15
2019-03-16 00:00:00,0.0001508674249008,2019-03-16
2019-03-17 00:00:00,0.0001988515444004,2019-03-17
2019-03-18 00:00:00,0.0001031316549134,2019-03-18
2019-03-19 00:00:00,0.0002291439663551,2019-03-19
2019-03-20 00:00:00,0.0002245213685455,2019-03-20
2019-03-21 00:00:00,0.000229526999203,2019-03-21
2019-03-22 00:00:00,0.0002345326298606,2019-03-22
2019-03-23 00:00:00,0.0002848332356072,2019-03-23
2019-03-24 00:00:00,0.0001985107134155,2019-03-24
2019-03-25 00:00:00,0.0001921681911026,2019-03-25
2019-03-26 00:00:00,0.0002917578396021,2019-03-26
2019-03-28 00:00:00,0.0002076575167296,2019-03-28
2019-03-30 00:00:00,0.0003155841150722,2019-03-30
2019-03-31 00:00:00,0.0002005128354287,2019-03-31
2019-04-01 00:00:00,0.0001913736846052,2019-04-01
2019-04-02 00:00:00,0.0002292592673599,2019-04-02
2019-04-03 00:00:00,0.0001856483874482,2019-04-03
2019-04-04 00:00:00,0.0001997694690952,2019-04-04
2019-04-05 00:00:00,0.0001986475720932,2019-04-05
2019-04-06 00:00:00,0.0002038335707743,2019-04-06
2019-04-07 00:00:00,0.0002632298358881,2019-04-07
2019-04-08 00:00:00,0.0002901479325215,2019-04-08
2019-04-09 00:00:00,0.0001645179947213,2019-04-09
2019-04-10 00:00:00,0.0001457744638877,2019-04-10
2019-04-11 00:00:00,0.0001902421171088,2019-04-11
2019-04-12 00:00:00,0.00023470977033,2019-04-12
2019-04-13 00:00:00,0.0002282964378382,2019-04-13
2019-04-14 00:00:00,0.000225896395215,2019-04-14
2019-04-15 00:00:00,0.0002234963525919,2019-04-15
2019-04-16 00:00:00,0.0002210963099688,2019-04-16
2019-04-17 00:00:00,0.0002186962673457,2019-04-17
2019-04-18 00:00:00,0.0002162962247226,2019-04-18
2019-04-19 00:00:00,0.0002595917978659,2019-04-19
2019-04-20 00:00:00,0.0001948729945005,2019-04-20
2019-04-21 00:00:00,0.0001301541911352,2019-04-21
2019-04-22 00:00:00,0.0001844679986247,2019-04-22
2019-04-23 00:00:00,0.0002139409536759,2019-04-23
2019-04-24 00:00:00,0.0001655682962151,2019-04-24
2019-04-26 00:00:00,0.0001514479517936,2019-04-26
2019-04-27 00:00:00,0.0001723786783322,2019-04-27
2019-04-28 00:00:00,0.0001933094048709,2019-04-28
2019-04-29 00:00:00,0.0001813756682348,2019-04-29
2019-04-30 00:00:00,0.0001694419315987,2019-04-30
2019-05-01 00:00:00,0.0001575081949626,2019-05-01
2019-05-02 00:00:00,0.0001803331106202,2019-05-02
2019-05-03 00:00:00,0.0001994467277843,2019-05-03
2019-05-04 00:00:00,0.0002185603449485,2019-05-04
2019-05-05 00:00:00,8.02505700569093e-05,2019-05-05
2019-05-06 00:00:00,0.0001420565734228,2019-05-06
2019-05-07 00:00:00,0.0001650123219606,2019-05-07
2019-05-08 00:00:00,0.0001460277152315,2019-05-08
2019-05-09 00:00:00,0.0001493288295852,2019-05-09
2019-05-10 00:00:00,0.0002057718166517,2019-05-10
2019-05-11 00:00:00,0.0001641032775009,2019-05-11
2019-05-12 00:00:00,0.0001183245679523,2019-05-12
2019-05-13 00:00:00,0.000132961175467,2019-05-13
2019-05-14 00:00:00,7.061668788806564e-05,2019-05-14
2019-05-15 00:00:00,0.0001099983599625,2019-05-15
2019-05-16 00:00:00,0.00014039193757,2019-05-16
2019-05-17 00:00:00,9.796423680909052e-05,2019-05-17
2019-05-18 00:00:00,0.0001672252690382,2019-05-18
2019-05-19 00:00:00,0.0001708734532433,2019-05-19
2019-05-20 00:00:00,0.0001702025749611,2019-05-20
2019-05-21 00:00:00,8.681519324789669e-05,2019-05-21
2019-05-22 00:00:00,0.0001093033570457,2019-05-22
2019-05-23 00:00:00,0.0001317915208436,2019-05-23
2019-05-24 00:00:00,0.0001478469051026,2019-05-24
2019-05-25 00:00:00,5.233601288103446e-05,2019-05-25
2019-05-26 00:00:00,6.244214568722449e-05,2019-05-26
2019-05-27 00:00:00,0.0001554720535695,2019-05-27
2019-05-28 00:00:00,0.0001478338478629,2019-05-28
2019-05-29 00:00:00,0.0002594716110907,2019-05-29
2019-05-30 00:00:00,0.0001839537987904,2019-05-30
2019-05-31 00:00:00,0.0001362219972734,2019-05-31
2019-06-01 00:00:00,0.00029028932252,2019-06-01
