,HCHO Value,Date
2019-01-03 00:00:00,0.0001908293886956,2019-01-03
2019-01-04 00:00:00,5.0976259171277377e-05,2019-01-04
2019-01-05 00:00:00,6.456645496655256e-05,2019-01-05
2019-01-06 00:00:00,8.982348709518115e-05,2019-01-06
2019-01-07 00:00:00,4.097797651418246e-05,2019-01-07
2019-01-08 00:00:00,4.0520159353481214e-05,2019-01-08
2019-01-09 00:00:00,4.0062342192779975e-05,2019-01-09
2019-01-10 00:00:00,3.9604525032078735e-05,2019-01-10
2019-01-11 00:00:00,3.914670787137749e-05,2019-01-11
2019-01-12 00:00:00,4.013764100438482e-05,2019-01-12
2019-01-13 00:00:00,4.112857413739215e-05,2019-01-13
2019-01-14 00:00:00,4.211950727039948e-05,2019-01-14
2019-01-15 00:00:00,4.27055256923008e-05,2019-01-15
2019-01-16 00:00:00,7.52105368917504e-05,2019-01-16
2019-01-17 00:00:00,0.0001077155480912,2019-01-17
2019-01-18 00:00:00,2.1021983917616697e-05,2019-01-18
2019-01-19 00:00:00,3.5177822608346057e-05,2019-01-19
2019-01-20 00:00:00,8.95718212363389e-06,2019-01-20
2019-01-21 00:00:00,0.0001169623557084,2019-01-21
2019-01-22 00:00:00,0.0001423180803672,2019-01-22
2019-01-23 00:00:00,5.387086215710865e-05,2019-01-23
2019-01-24 00:00:00,5.8914353326833725e-05,2019-01-24
2019-01-25 00:00:00,0.0001507556199401,2019-01-25
2019-01-26 00:00:00,0.0002425968865534,2019-01-26
2019-01-28 00:00:00,0.0001509017772374,2019-01-28
2019-01-29 00:00:00,0.0001841569476548,2019-01-29
2019-01-30 00:00:00,3.054402387193301e-05,2019-01-30
2019-01-31 00:00:00,3.6008610393953005e-05,2019-01-31
2019-02-01 00:00:00,7.778077086008773e-05,2019-02-01
2019-02-02 00:00:00,7.975563658775878e-05,2019-02-02
2019-02-03 00:00:00,8.173050231542983e-05,2019-02-03
2019-02-04 00:00:00,8.370536804310088e-05,2019-02-04
2019-02-05 00:00:00,8.568023377077191e-05,2019-02-05
2019-02-06 00:00:00,8.765509949844296e-05,2019-02-06
2019-02-07 00:00:00,8.962996522611401e-05,2019-02-07
2019-02-08 00:00:00,6.902842232093944e-05,2019-02-08
2019-02-09 00:00:00,6.221135869623225e-05,2019-02-09
2019-02-10 00:00:00,5.539429507152505e-05,2019-02-10
2019-02-11 00:00:00,6.350397812857201e-05,2019-02-11
2019-02-12 00:00:00,7.161366118561896e-05,2019-02-12
2019-02-13 00:00:00,7.972334424266592e-05,2019-02-13
2019-02-14 00:00:00,9.844052433137274e-05,2019-02-14
2019-02-15 00:00:00,0.00011715770442,2019-02-15
2019-02-16 00:00:00,0.0001358748845087,2019-02-16
2019-02-17 00:00:00,0.0001545920645974,2019-02-17
2019-02-18 00:00:00,0.0001733092446862,2019-02-18
2019-02-19 00:00:00,0.0002395688257623,2019-02-19
2019-02-20 00:00:00,0.0001075724904002,2019-02-20
2019-02-21 00:00:00,-7.767660943011708e-05,2019-02-21
2019-02-22 00:00:00,-2.5037994831152824e-05,2019-02-22
2019-02-23 00:00:00,0.0001895221819805,2019-02-23
2019-02-25 00:00:00,0.0002487225320772,2019-02-25
2019-02-26 00:00:00,0.0002236861416168,2019-02-26
2019-02-27 00:00:00,0.0001986497511564,2019-02-27
2019-02-28 00:00:00,0.000173613360696,2019-02-28
2019-03-01 00:00:00,0.0001485769702356,2019-03-01
2019-03-02 00:00:00,0.0001235405797752,2019-03-02
2019-03-03 00:00:00,0.0001316025225597,2019-03-03
2019-03-04 00:00:00,0.0001396644653442,2019-03-04
2019-03-05 00:00:00,0.0001477264081287,2019-03-05
2019-03-06 00:00:00,6.384192250393643e-05,2019-03-06
2019-03-07 00:00:00,0.0001673222246266,2019-03-07
2019-03-08 00:00:00,8.084443465562647e-05,2019-03-08
2019-03-09 00:00:00,7.314038212365673e-05,2019-03-09
2019-03-10 00:00:00,6.543632959168698e-05,2019-03-10
2019-03-11 00:00:00,6.152930957380892e-05,2019-03-11
2019-03-12 00:00:00,0.0002626515739848,2019-03-12
2019-03-13 00:00:00,0.0001800542425109,2019-03-13
2019-03-14 00:00:00,9.745691103711994e-05,2019-03-14
2019-03-15 00:00:00,0.0001547611296419,2019-03-15
2019-03-16 00:00:00,0.0001265224542416,2019-03-16
2019-03-17 00:00:00,9.707817147280696e-05,2019-03-17
2019-03-18 00:00:00,6.763388870401394e-05,2019-03-18
2019-03-19 00:00:00,3.81896059352209e-05,2019-03-19
2019-03-20 00:00:00,-4.17166297978817e-06,2019-03-20
2019-03-21 00:00:00,3.214159406561588e-05,2019-03-21
2019-03-22 00:00:00,6.845485111101992e-05,2019-03-22
2019-03-23 00:00:00,0.0001184572953092,2019-03-23
2019-03-24 00:00:00,0.0002337061979083,2019-03-24
2019-03-25 00:00:00,5.820339193343703e-05,2019-03-25
2019-03-26 00:00:00,8.722993536189284e-05,2019-03-26
2019-03-27 00:00:00,9.746027246583777e-05,2019-03-27
2019-03-28 00:00:00,0.0001692817181159,2019-03-28
2019-03-29 00:00:00,0.0001940701991971,2019-03-29
2019-03-30 00:00:00,0.000199954111486,2019-03-30
2019-03-31 00:00:00,0.0001030857769564,2019-03-31
2019-04-01 00:00:00,0.0001345494559591,2019-04-01
2019-04-02 00:00:00,0.000144982511753,2019-04-02
2019-04-03 00:00:00,0.0001425276102801,2019-04-03
2019-04-04 00:00:00,0.0001196842667319,2019-04-04
2019-04-05 00:00:00,0.0001113004910581,2019-04-05
2019-04-06 00:00:00,0.0001029167153844,2019-04-06
2019-04-07 00:00:00,8.524743477854614e-05,2019-04-07
2019-04-08 00:00:00,6.757815417269227e-05,2019-04-08
2019-04-09 00:00:00,3.498404857753143e-05,2019-04-09
2019-04-10 00:00:00,2.3899429823705947e-06,2019-04-10
2019-04-11 00:00:00,-3.0204162612790245e-05,2019-04-11
2019-04-12 00:00:00,0.0001408357462238,2019-04-12
2019-04-13 00:00:00,0.0001905907485365,2019-04-13
2019-04-14 00:00:00,0.0001492577577796,2019-04-14
2019-04-15 00:00:00,0.0001079247670228,2019-04-15
2019-04-16 00:00:00,6.659177626596835e-05,2019-04-16
2019-04-17 00:00:00,2.525878550912447e-05,2019-04-17
2019-04-18 00:00:00,-1.607420524771941e-05,2019-04-18
2019-04-19 00:00:00,-5.74071960045633e-05,2019-04-19
2019-04-20 00:00:00,-4.104803208542198e-06,2019-04-20
2019-04-21 00:00:00,4.9197589587478906e-05,2019-04-21
2019-04-22 00:00:00,0.0001024999823835,2019-04-22
2019-04-23 00:00:00,0.0001742585006953,2019-04-23
2019-04-25 00:00:00,-4.44070437953798e-05,2019-04-25
2019-04-26 00:00:00,7.111501928962651e-05,2019-04-26
2019-04-27 00:00:00,9.022110355151326e-05,2019-04-27
2019-04-28 00:00:00,0.0001093271878134,2019-04-28
2019-04-29 00:00:00,0.0001129974214447,2019-04-29
2019-04-30 00:00:00,0.000116667655076,2019-04-30
2019-05-01 00:00:00,0.0001203378887073,2019-05-01
2019-05-02 00:00:00,0.0001336923031109,2019-05-02
2019-05-03 00:00:00,0.0001018588190565,2019-05-03
2019-05-04 00:00:00,7.002533500214887e-05,2019-05-04
2019-05-05 00:00:00,4.388346007494007e-05,2019-05-05
2019-05-06 00:00:00,0.0001055412390811,2019-05-06
2019-05-07 00:00:00,0.0001036462577021,2019-05-07
2019-05-08 00:00:00,5.81859056799875e-05,2019-05-08
2019-05-09 00:00:00,0.0002151863254373,2019-05-09
2019-05-10 00:00:00,0.0001520700378357,2019-05-10
2019-05-11 00:00:00,8.896596670445717e-05,2019-05-11
2019-05-12 00:00:00,0.0001523431428776,2019-05-12
2019-05-13 00:00:00,0.0002157203190507,2019-05-13
2019-05-15 00:00:00,0.0002221362230624,2019-05-15
2019-05-16 00:00:00,0.0001343666372122,2019-05-16
2019-05-17 00:00:00,0.0001796590707575,2019-05-17
2019-05-18 00:00:00,0.0002249515043028,2019-05-18
2019-05-20 00:00:00,8.031848961353504e-05,2019-05-20
2019-05-21 00:00:00,0.0001222873862844,2019-05-21
2019-05-22 00:00:00,7.905575695833164e-05,2019-05-22
2019-05-23 00:00:00,3.5824127632263266e-05,2019-05-23
2019-05-24 00:00:00,-7.4075016938050895e-06,2019-05-24
2019-05-25 00:00:00,-5.063913101987346e-05,2019-05-25
2019-05-26 00:00:00,3.6341561558326346e-05,2019-05-26
2019-05-27 00:00:00,0.0001195644109596,2019-05-27
2019-05-28 00:00:00,9.84078342114136e-05,2019-05-28
2019-05-29 00:00:00,0.0001370126083911,2019-05-29
2019-05-30 00:00:00,5.092769901518664e-05,2019-05-30
2019-06-01 00:00:00,5.587982157832464e-05,2019-06-01
2019-06-02 00:00:00,3.772535689224513e-05,2019-06-02
2019-06-03 00:00:00,-1.7709887699493803e-05,2019-06-03
2019-06-04 00:00:00,-3.70791382327301e-05,2019-06-04
2019-06-05 00:00:00,-5.6448388765966406e-05,2019-06-05
2019-06-06 00:00:00,-7.581763929920271e-05,2019-06-06
2019-06-07 00:00:00,-1.5780065277868473e-05,2019-06-07
2019-06-08 00:00:00,4.425750874346576e-05,2019-06-08
2019-06-09 00:00:00,0.0001042950827648,2019-06-09
2019-06-10 00:00:00,9.644106523652276e-05,2019-06-10
2019-06-11 00:00:00,8.858704770824554e-05,2019-06-11
2019-06-12 00:00:00,-1.5747418729006313e-05,2019-06-12
2019-06-13 00:00:00,0.0001989688025787,2019-06-13
2019-06-14 00:00:00,0.0001298568439525,2019-06-14
2019-06-15 00:00:00,6.074488532642667e-05,2019-06-15
2019-06-16 00:00:00,0.000101215088715,2019-06-16
2019-06-17 00:00:00,8.275653874941797e-05,2019-06-17
2019-06-18 00:00:00,8.291602308825832e-06,2019-06-18
2019-06-19 00:00:00,4.317640515599125e-05,2019-06-19
2019-06-20 00:00:00,9.229919803482012e-05,2019-06-20
2019-06-21 00:00:00,0.0001201178946861,2019-06-21
2019-06-22 00:00:00,0.0001479365913374,2019-06-22
2019-06-23 00:00:00,6.17899931725921e-05,2019-06-23
2019-06-24 00:00:00,8.612760644862806e-05,2019-06-24
2019-06-25 00:00:00,0.0001104652197246,2019-06-25
2019-06-26 00:00:00,0.0001348028330007,2019-06-26
2019-06-27 00:00:00,8.074711312637191e-05,2019-06-27
2019-06-28 00:00:00,0.0001259997361788,2019-06-28
2019-06-29 00:00:00,0.0001105386966815,2019-06-29
2019-06-30 00:00:00,0.0001086163531717,2019-06-30
2019-07-01 00:00:00,5.762188204561666e-05,2019-07-01
2019-07-02 00:00:00,0.0001623492259486,2019-07-02
2019-07-03 00:00:00,0.0001738523006491,2019-07-03
2019-07-04 00:00:00,-1.9064508329208183e-05,2019-07-04
2019-07-05 00:00:00,0.0001177761070948,2019-07-05
2019-07-06 00:00:00,0.0001369265480897,2019-07-06
2019-07-07 00:00:00,0.0001863186505513,2019-07-07
2019-07-08 00:00:00,0.00024779655935,2019-07-08
2019-07-09 00:00:00,0.0002082744543435,2019-07-09
2019-07-10 00:00:00,0.000168752349337,2019-07-10
2019-07-11 00:00:00,0.0001292302443306,2019-07-11
2019-07-12 00:00:00,0.0001169642800239,2019-07-12
